Task_id,1,1,2,2,1,2,1,2
Metric,Speedup,Efficiency,Speedup,Efficiency,Iso-efficiency,Iso-efficiency,Sequential Fraction,Sequential Fraction
"nodes = 2, thread = 2",1.443,0.722,1.348,0.674,0.999,1,,
"nodes = 2, thread = 4",1.467,0.734,2.22,1.11,0.999,1,,
"nodes = 2, thread = 8",2.163,1.081,1.349,0.674,1,1.001,,
"nodes = 4, thread = 2",2.037,0.509,1.612,0.403,1,1,,
"nodes = 4, thread = 4",3.56,0.89,1.61,0.403,1,0.999,,
"nodes = 4, thread = 8",2.022,0.505,3.053,0.763,1.001,1,,
"nodes = 8, thread = 2",2.419,0.302,1.775,0.222,1.001,0.999,,
"nodes = 8, thread = 4",5.21,0.651,3.7,0.463,1,0.999,,
"nodes = 8, thread = 8",2.477,0.31,1.792,0.224,0.999,1,,
